X_i	T_i
0.1497 0.1646 
0.0773 0.2877 
0.0455 0.3169 
0.0101 0.3345 
0.0144 0.2869 
0.0247 0.1471 
0.0534 0.1624 
0.0159 0.2450 
0.3204 0.2670 
0.0113 0.0436 
0.0541 0.2675 
0.0382 0.3682 
0.0810 0.2007 
0.1286 0.2168 
0.0518 0.3973 
0.0419 0.3772 
0.0130 0.4732 
0.2593 0.2256 
0.0802 0.3179 
0.0642 0.2432 
0.0142 0.4453 
0.0307 0.3353 
0.0114 0.3436 
0.2402 0.1411 
0.0344 0.3194 
0.0242 0.4597 
0.0062 0.5179 
0.1943 0.2809 
0.0206 0.3441 
0.0235 0.4398 
0.6700 0.1832 
0.6047 0.1906 
0.6969 0.1695 
0.6929 0.1313 
0.7175 0.1780 
0.4843 0.2469 
0.6632 0.1557 
0.7905 0.1726 
0.6488 0.1799 
0.7643 0.2118 
0.7227 0.2109 
0.6781 0.2084 
0.6224 0.2531 
0.7128 0.2084 
0.6834 0.2362 
0.6287 0.2156 
0.7519 0.1791 
0.8136 0.0997 
0.7696 0.1818 
0.7363 0.1414 
0.7852 0.2053 
0.8765 0.1882 
0.8174 0.1467 
0.8304 0.1590 
0.7921 0.1245 
0.3234 0.2772 
0.2615 0.3039 
0.3980 0.2537 
0.0260 0.1465 
0.2987 0.2268 
0.1207 0.3400 
0.0073 0.3924 
0.0216 0.0974 
0.3853 0.2362 
0.0273 0.1455 
0.0383 0.3971 
0.0538 0.3333 
0.2485 0.3241 
0.1688 0.1850 
0.0138 0.4848 
0.0086 0.3946 
0.0620 0.3631 
0.1679 0.2348 
0.0833 0.2647 
0.0267 0.2629 
0.0256 0.2048 
0.0369 0.4165 
0.0957 0.2986 
0.0629 0.2515 
0.0682 0.1937 
0.0771 0.6474 
0.0348 0.2239 
0.0304 0.3913 
0.0479 0.4012 
0.0889 0.2630 
0.0280 0.3200 
0.0245 0.4870 
0.0000 0.5441 
0.0054 0.0000 
0.0074 0.0000 
0.0000 0.4627 
0.0402 0.4003 
0.0185 0.4525 
0.0062 0.3551 
0.0100 0.4068 
0.0136 0.3780 
0.0077 0.3677 
0.0274 0.3299 
0.0506 0.2859 
0.0384 0.3106 
0.0298 0.2634 
0.0147 0.4750 
0.0018 0.3668 
0.0312 0.2972 
0.0282 0.2584 
0.0098 0.3577 
0.0173 0.2872 
0.0207 0.5034 
0.0147 0.5221 
0.1416 0.3164 
0.0078 0.4650 
0.0173 0.3683 
0.0189 0.4695 
0.0163 0.3994 
0.0031 0.0000 
0.3383 0.1807 
0.2688 0.2043 
0.2103 0.1970 
0.1404 0.0000 
0.1544 0.0000 
0.3166 0.2808 
0.5693 0.1311 
0.3918 0.1742 
0.0255 0.0000 
0.4704 0.1451 
0.6192 0.1539 
0.5158 0.1711 
0.5276 0.1271 
0.0150 0.3639 
0.0237 0.3742 
0.0038 0.0000 
0.0000 0.0000 
0.0096 0.3333 
0.0075 0.3839 
0.0117 0.3988 
0.0102 0.1279 
0.0000 0.0000 
0.0178 0.0000 
0.0257 0.3680 
0.0306 0.3294 
0.0217 0.5183 
0.0245 0.4663 
0.0283 0.4334 
0.0173 0.4345 
0.0164 0.5483 
0.0110 0.5092 
0.0199 0.4119 
0.0286 0.4571 
0.0434 0.4645 
0.0140 0.4423 
0.0197 0.4181 
0.0159 0.4928 
0.0213 0.4840 
0.0202 0.5389 
0.0307 0.4319 
0.0264 0.5209 
0.0557 0.5105 
0.0344 0.3545 
0.0280 0.4099 
0.0184 0.4653 
0.0223 0.3936 
0.0059 0.4407 
0.0000 0.4106 
0.0075 0.4910 
0.0030 0.4843 
0.0147 0.4910 
0.0041 0.4466 
0.0026 0.4922 
0.0041 0.4837 
0.0149 0.4593 
0.0087 0.5122 
0.0079 0.3710 
0.0000 0.4620 
0.0014 0.3706 
0.0143 0.4750 
0.0070 0.0000 
0.0084 0.0000 
0.0026 0.3753 
0.0066 0.4335 
0.0033 0.4205 
0.0000 0.4913 
0.0057 0.5305 
0.0118 0.3972 
0.0142 0.4444 
0.0126 0.3944 
0.0126 0.3994 
0.0000 0.4516 
0.0116 0.5116 
0.0174 0.4375 
0.0177 0.1130 
0.1803 0.2956 
0.2909 0.2646 
0.1218 0.2337 
0.0369 0.3244 
0.0223 0.4517 
0.0204 0.5060 
0.0146 0.5248 
0.0283 0.4081 
0.0346 0.4724 
0.0162 0.4501 
0.0073 0.6051 
0.0218 0.5267 
0.0106 0.4416 
0.0109 0.4601 
0.0160 0.4410 
0.0185 0.5585 
0.0112 0.5183 
0.0104 0.5433 
0.0139 0.3715 
0.0103 0.3656 
0.0091 0.4843 
0.0241 0.5000 
0.0029 0.4350 
0.0370 0.4178 
0.0056 0.4097 
0.0288 0.3763 
0.0332 0.4238 
0.0234 0.5145 
0.0452 0.3931 
0.8148 0.1080 
0.0452 0.2774 
0.2808 0.2402 
0.3804 0.2815 
0.0491 0.3165 
0.6566 0.1157 
0.8427 0.1259 
0.0943 0.2847 
0.0969 0.2787 
0.0319 0.2764 
0.8271 0.0898 
0.7264 0.1168 
0.6113 0.1855 
0.5338 0.1762 
0.6998 0.1228 
0.5922 0.1229 
0.5080 0.1813 
0.0303 0.3287 
0.0424 0.1563 
0.0188 0.2447 
0.0158 0.2978 
0.0215 0.3152 
0.0160 0.3173 
0.0259 0.1409 
0.0296 0.2555 
0.3096 0.1227 
0.0309 0.1615 
0.0131 0.8331 
0.0714 0.1591 
0.0040 0.4786 
0.0276 0.2508 
