X_i	V_i	T_i	e^2_i	1/N_i
0.9540 0.9067 0.2463 0.0005 0.0016 
0.9329 0.8689 0.3198 0.0024 0.0012 
0.9287 0.9045 0.3025 0.0010 0.0010 
0.9497 0.8931 0.3808 0.0125 0.0012 
0.9384 0.8538 0.2760 0.0000 0.0021 
0.9693 0.9691 0.3830 0.0134 0.0024 
0.9610 0.9341 0.3085 0.0017 0.0017 
0.9559 0.9087 0.3178 0.0024 0.0013 
0.9268 0.9083 0.3286 0.0033 0.0014 
0.9627 0.9459 0.2181 0.0025 0.0010 
0.8687 0.8963 0.1619 0.0131 0.0010 
0.9295 0.9291 0.2070 0.0041 0.0015 
0.7404 0.9167 0.2308 0.0033 0.0048 
0.7699 0.8166 0.2172 0.0047 0.0013 
0.3015 0.7662 0.2369 0.0085 0.0031 
0.1032 0.5484 0.1032 0.0597 0.0017 
0.2046 0.6667 0.1526 0.0344 0.0012 
0.0550 0.5921 0.3047 0.0022 0.0011 
0.0971 0.6340 0.2008 0.0217 0.0013 
0.0965 0.6866 0.1453 0.0411 0.0011 
0.1861 0.7815 0.0921 0.0613 0.0006 
0.0839 0.5938 0.1279 0.0490 0.0010 
0.1016 0.5935 0.1420 0.0423 0.0012 
0.0587 0.5435 0.1862 0.0273 0.0010 
0.1013 0.5189 0.3934 0.0021 0.0015 
0.5020 0.6983 0.2377 0.0053 0.0010 
0.1774 0.6062 0.2957 0.0020 0.0018 
0.3298 0.5786 0.2099 0.0136 0.0015 
0.6691 0.7143 0.2458 0.0024 0.0018 
0.7435 0.9333 0.1842 0.0108 0.0014 
0.0366 0.6653 0.1702 0.0336 0.0007 
0.3064 0.7936 0.1546 0.0303 0.0006 
0.0339 0.6203 0.1577 0.0385 0.0020 
0.0000 0.5302 0.2138 0.0205 0.0014 
0.0000 0.7107 0.2304 0.0160 0.0014 
0.0215 0.7073 0.2715 0.0070 0.0017 
0.0228 0.5591 0.1812 0.0302 0.0014 
0.0423 0.6643 0.1779 0.0307 0.0012 
0.0125 0.7123 0.1825 0.0301 0.0025 
0.0089 0.6778 0.2013 0.0240 0.0022 
0.0120 0.5655 0.1832 0.0298 0.0011 
0.0455 0.3776 0.2025 0.0226 0.0021 
