	t	x	n
  0.7007   0.0084 715.0000 
  0.7309   0.2625 602.0000 
  0.7595   0.0115 607.0000 
  0.8091   0.0125 639.0000 
  0.7654   0.0569 422.0000 
  0.7627   0.0000 451.0000 
  0.7562   0.0000 406.0000 
  0.7541   0.0220 545.0000 
  0.6932   0.4408 515.0000 
  0.6639   0.9471 851.0000 
  0.7429   0.6838 778.0000 
  0.7025   0.0127 316.0000 
  0.7245   0.0246 773.0000 
  0.7089   0.0127  79.0000 
  0.6261   0.0564 567.0000 
  0.6780   0.0043 469.0000 
  0.6807   0.2448 429.0000 
  0.6532   0.0313 447.0000 
  0.7861   0.0149 201.0000 
  0.7221   0.0851 752.0000 
  0.5783   0.0688 581.0000 
  0.7574   0.0452 907.0000 
  0.7303   0.0674 623.0000 
  0.6696   0.8962 684.0000 
  0.6840   0.0736 231.0000 
  0.5623   0.2296 514.0000 
  0.6379   0.0848 660.0000 
  0.6187   0.0000 417.0000 
  0.7882   0.0987 963.0000 
  0.6875   0.0179 112.0000 
  0.5931   0.0086 698.0000 
  0.5807   0.0000 954.0000 
  0.7289   0.0522 498.0000 
  0.8444   0.1293 495.0000 
  0.6222   0.0296 135.0000 
  0.6926   0.0476 462.0000 
  0.7097   0.0000  62.0000 
  0.6395   0.0000 319.0000 
  0.7414   0.0000 553.0000 
  0.7265   0.0684 234.0000 
  0.6583   0.0000 120.0000 
  0.6994   0.3313 815.0000 
  0.7344   0.0064 625.0000 
  0.7597   0.1308 1032.0000 
  0.6779   0.0036 829.0000 
  0.6439   0.6559 497.0000 
  0.6724   0.9841 757.0000 
  0.6977   0.0000 880.0000 
  0.7026   0.0259 1160.0000 
  0.7285   0.0063 792.0000 
  0.5861   0.0000 273.0000 
  0.6661   0.9918 1096.0000 
  0.6906   0.0627 973.0000 
  0.6178   0.1118 832.0000 
  0.5986   0.0103 583.0000 
  0.6113   0.0080 373.0000 
  0.6524   0.0427 164.0000 
  0.6619   0.0605 281.0000 
  0.6869   0.0607 412.0000 
  0.6643   0.0085 706.0000 
  0.5957   0.0135 371.0000 
  0.8185   0.0335 1014.0000 
  0.8058   0.4320 206.0000 
  0.7368   0.2219 703.0000 
  0.8438   0.9760 416.0000 
  0.7436   0.2797 429.0000 
  0.7280   0.1194 511.0000 
  0.7692   0.0533 676.0000 
  0.7453   0.0189 212.0000 
  0.7648   0.0094 744.0000 
  0.7770   0.3135 453.0000 
  0.7924   0.9958 236.0000 
  0.6954   0.0805 174.0000 
  0.7202   0.0050 604.0000 
  0.8860   0.0000 114.0000 
  0.7643   0.0000 280.0000 
  0.8045   0.0000 445.0000 
  0.8171   0.0000 164.0000 
  0.6977   0.0000  86.0000 
  0.7811   0.0081 370.0000 
  0.8286   0.0829 350.0000 
  0.7136   0.0080 625.0000 
  0.7966   0.0392 408.0000 
  0.8079   0.0793 479.0000 
  0.7125   0.0000 240.0000 
  0.8188   0.0000 149.0000 
  0.7546   0.9967 603.0000 
  0.7487   0.5688 378.0000 
  0.7503   0.2356 993.0000 
  0.7663   0.0030 659.0000 
  0.7561   0.8415 328.0000 
  0.7063   0.8181 1440.0000 
  0.7263   0.7421 190.0000 
  0.8126   0.2925 571.0000 
  0.6514   0.7296 1265.0000 
  0.7593   0.2381 378.0000 
  0.8118   0.1663 457.0000 
  0.7697   0.3503 1550.0000 
  0.8604   0.0358 530.0000 
  0.8408   0.5257 584.0000 
  0.8056   0.6080 648.0000 
  0.7901   0.6989 362.0000 
  0.7778   0.6782 1386.0000 
  0.7052   0.1392 1652.0000 
  0.7304   0.1077 1662.0000 
  0.7484   0.1271 787.0000 
  0.7813   0.1945 951.0000 
  0.7865   0.0477 965.0000 
  0.7353   0.1078 733.0000 
  0.7461   0.0438 1871.0000 
  0.7750   0.0268 1680.0000 
  0.7486   0.0083 1806.0000 
  0.7538   0.1516 983.0000 
  0.7863   0.0000 1053.0000 
