	t	x	n	
  0.4374   0.1640 6196.0000 
  0.4220   0.1185 5917.0000 
  0.4441   0.1421 3652.0000 
  0.4343   0.0635 13446.0000 
  0.3768   0.0787 6406.0000 
  0.3628   0.1159 4201.0000 
  0.3299   0.0547 14251.0000 
  0.3971   0.0611 5485.0000 
  0.2894   0.4877 19399.0000 
  0.4927   0.1953 4532.0000 
  0.3916   0.0313 24300.0000 
  0.3987   0.0892 8730.0000 
  0.3067   0.1891 27010.0000 
  0.4056   0.0603 7359.0000 
  0.2068   0.0468 21476.0000 
  0.5073   0.0697 8245.0000 
  0.2211   0.3081 31229.0000 
  0.4715   0.1180 3425.0000 
  0.3899   0.0436 9248.0000 
  0.5066   0.1113 2578.0000 
  0.4574   0.0425 7549.0000 
  0.4724   0.0476 3023.0000 
  0.4135   0.1635 6525.0000 
  0.3193   0.1239 8209.0000 
  0.2478   0.1026 18291.0000 
  0.3565   0.0379 15020.0000 
  0.2831   0.0812 14353.0000 
  0.4204   0.0705 7688.0000 
  0.4258   0.0236 5385.0000 
  0.3757   0.0431 5361.0000 
  0.4093   0.0285 2282.0000 
  0.3996   0.0789 12985.0000 
  0.4920   0.0365 11501.0000 
  0.4893   0.0992 3597.0000 
  0.4030   0.1329 3665.0000 
  0.4067   0.0382 9238.0000 
  0.4117   0.0760 3172.0000 
  0.5395   0.0670 6280.0000 
  0.3445   0.2176 11777.0000 
  0.4204   0.0980 20101.0000 
  0.4517   0.0554 6303.0000 
  0.3937   0.0500 9956.0000 
  0.3884   0.0510 8241.0000 
  0.3002   0.0768 10056.0000 
  0.4513   0.0876 17956.0000 
  0.4580   0.0780 8402.0000 
  0.4065   0.0589 7125.0000 
  0.4179   0.0499 4652.0000 
  0.3272   0.1060 217.0000 
  0.3874   0.1040 14391.0000 
  0.4365   0.0470 10826.0000 
  0.4423   0.0442 2376.0000 
  0.5186   0.0519 1695.0000 
  0.3948   0.3269 29207.0000 
  0.4498   0.1369 10065.0000 
  0.9412   0.0000  17.0000 
  0.4546   0.0506 5491.0000 
  0.4064   0.0418 7583.0000 
  0.2768   0.0617 9088.0000 
  0.3902   0.0590 7356.0000 
  0.3422   0.0964 8478.0000 
  0.4344   0.0457 3980.0000 
  0.4470   0.0291 6089.0000 
  0.4773   0.0262 11587.0000 
  0.2641   0.0070 1136.0000 
  0.3359   0.2333 2066.0000 
  0.3004   0.1543 3396.0000 
