	t	x	N	truthB	truthW	
  0.1784   0.4596 1362.0000   0.1230   0.2255 
  0.0701   0.5154 941.0000   0.0639   0.0768 
  0.0874   0.4856 1007.0000   0.0675   0.1062 
  0.0856   0.4729 1087.0000   0.0564   0.1117 
  0.3660   0.4066 1306.0000   0.3352   0.3871 
  0.2116   0.4345 1413.0000   0.1384   0.2678 
  0.1822   0.4830 1350.0000   0.1933   0.1719 
  0.0896   0.4831 1273.0000   0.0764   0.1018 
  0.2188   0.4179 457.0000   0.2147   0.2218 
  0.5988   0.4497 825.0000   0.5499   0.6388 
  0.0122   0.4889 1718.0000   0.0190   0.0057 
  0.1677   0.4733 1950.0000   0.1365   0.1957 
  0.0840   0.5170 2797.0000   0.0871   0.0807 
  0.0093   0.5227 1081.0000   0.0000   0.0194 
  0.1863   0.4980 3307.0000   0.1730   0.1994 
  0.1454   0.4663 564.0000   0.1179   0.1694 
  0.1112   0.5604 944.0000   0.0983   0.1277 
  0.0000   0.4348 184.0000   0.0000   0.0000 
  0.0000   0.5112 358.0000   0.0000   0.0000 
  0.1407   0.4557 327.0000   0.1812   0.1067 
  0.0736   0.4535 258.0000   0.0427   0.0993 
  0.4751   0.3731 922.0000   0.3488   0.5502 
  0.2113   0.4663 1008.0000   0.2128   0.2100 
  0.1609   0.4325 1274.0000   0.1053   0.2033 
  0.1475   0.5294 1037.0000   0.1293   0.1680 
  0.2273   0.4778 1465.0000   0.1786   0.2719 
  0.3037   0.3974 619.0000   0.2154   0.3619 
  0.0228   0.4873 394.0000   0.0000   0.0446 
  0.1417   0.4530 2428.0000   0.1082   0.1694 
  0.0970   0.5189 1299.0000   0.0875   0.1072 
  0.2762   0.4722 449.0000   0.2594   0.2911 
  0.3463   0.3665 794.0000   0.3058   0.3698 
  0.3084   0.4422 441.0000   0.2051   0.3902 
  0.4781   0.4283 502.0000   0.3953   0.5401 
  0.4818   0.5182 220.0000   0.4474   0.5189 
  0.0320   0.4600 437.0000   0.0000   0.0593 
  0.2229   0.4798 1238.0000   0.2104   0.2345 
  0.2775   0.4760 1874.0000   0.2814   0.2739 
  0.3344   0.3684 1265.0000   0.2961   0.3567 
  0.1578   0.4791 716.0000   0.0845   0.2252 
  0.0388   0.4903 722.0000   0.0141   0.0625 
  0.0227   0.5067 748.0000   0.0317   0.0136 
